$C_S$,$C_T$
1.082299480141422,-6.7998481124001415
1.0812466656239568,-6.798165041751149
1.0822767766959258,-6.799844871713565
1.0822995564324858,-6.799857378682731
1.082333614164049,-6.79981038191513
1.0823351472954803,-6.79975672463509
1.082386916617193,-6.799775656092125
1.0822529685302813,-6.8000134020379335
1.082347594346105,-6.799778945830147
1.082311628176697,-6.799783073027297
1.0823875987014504,-6.7996488962858175
1.0823284610133015,-6.7998620236306895
1.0823094535116566,-6.799908002134199
1.082287089199609,-6.800057059236668
1.0823442802389849,-6.799754247432228
1.082295504796676,-6.799819374210762
1.0823819948816389,-6.799611475404175
1.0822778807627935,-6.799925643494642
1.082329806326573,-6.799709852905619
1.0823648901540202,-6.799800255860895
1.082342921090306,-6.799828658154703
1.08219861210233,-6.799681620297599
1.0823576249224824,-6.799870594907917
1.0823807785758583,-6.799706549778413
1.0823032512971735,-6.799931096218906
1.082421647688928,-6.799698083356363
1.0822553397025412,-6.799817083036039
1.0824205160068374,-6.799663285617836
1.0823789653233988,-6.7997522474626795
1.0824514075904568,-6.79855318005998
1.082306758856986,-6.799894765647141
1.08154964766866,-6.801369570033711
1.0823651910631866,-6.799646451269389
1.082297015053916,-6.799922961365505
1.082282506088841,-6.799956630617826
1.0824070527165368,-6.799651611704254
1.0822956812789493,-6.799890605149246
1.0823120874677128,-6.79984237042664
1.0823369742761817,-6.799700343925558
1.0823640659554703,-6.799758760961696
1.082330307070534,-6.799886021650426
1.0823901149448638,-6.799772597480686
1.0823108389069698,-6.799801857712383
1.0823118564170076,-6.79980821021085
1.0823150492416012,-6.799976164570666
1.082254397746119,-6.799954522622553
1.082353872344715,-6.799743671696655
1.0823240468267488,-6.799784894452702
1.0823393355333442,-6.7997656972602885
1.0823408671746937,-6.799918674473046
1.082373770335704,-6.7997162719775766
1.0823898402230354,-6.799639826523284
1.0820710703126262,-6.800460892287478
1.082375291204408,-6.799605451326554
1.0822921427222003,-6.799955274730415
1.0823468346852902,-6.799855727195997
1.0823256552080027,-6.7997234251375955
1.0823862339276789,-6.799779696132563
1.0823215403961466,-6.799944316645327
1.0823258248516607,-6.799836307279487
1.0824389140188964,-6.799474843028799
1.08232807282526,-6.7998391933791185
1.0765777048569456,-6.7270938783434895
1.0823682789835205,-6.7998472960533185
1.082301342013818,-6.799712017544273
1.082371174419625,-6.799684881682023
1.082328303531235,-6.799799169545027
1.0824179979622832,-6.799716803930949
1.0822034884957334,-6.800145560263028
1.0601762817812244,-6.841434375531431
1.08234159782308,-6.799754869438308
1.0824108267220718,-6.799729886702066
1.082581683965528,-6.799558999220223
1.0823563164417536,-6.799672174896509
1.0823465862063637,-6.7997013525634475
1.082320312418161,-6.799728401726046
1.082345213071743,-6.79989165599334
1.0823569038390093,-6.799773970572695
1.0823847176833663,-6.799586123799018
1.0823592122717154,-6.799834608506585
1.0823568748916723,-6.7998598999409
1.082311901650714,-6.799844503153931
1.0823211267933717,-6.799846836681732
1.0823524686964705,-6.799687303474139
1.082368652573116,-6.7997233819408835
1.0823493754044675,-6.799874387240246
1.0823390366532917,-6.799672960313749
1.0822829424770983,-6.799943771629312
1.082285334907258,-6.799923043389642
1.0822964332791851,-6.799880359976623
1.0823113681457937,-6.799795274930078
1.0822903433942004,-6.7999026830506635
1.0823658948696195,-6.799782065248511
1.0823667709498013,-6.799630520900891
1.0823442640069525,-6.799724660071067
1.082358616694051,-6.79978158911878
1.0823657581438186,-6.799740127660561
1.0823489443833862,-6.799781045141596
1.0822948852796823,-6.799765824890456
