$c0c0$,$c0c1$
-5.717501699628584,-10.046730379886736
-5.717635548039185,-10.046875101802849
-5.717375732901196,-10.046837625387388
-5.717508401701818,-10.046831360764855
-5.717556559281985,-10.046871201697414
-5.71734942112251,-10.046775663330424
-5.717444412555351,-10.046783721797349
-5.717531115844539,-10.046825715675366
-5.71731007821989,-10.04677922709181
-5.717720423854844,-10.046847851145246
-5.717430320851265,-10.046829470135826
-5.6914462249844915,-10.03231448110482
-5.717430240281882,-10.047066911057918
-5.717552274750973,-10.046795206475812
-5.717538736829866,-10.046678344548166
-5.703063585725229,-10.03246545666702
-5.71732844195435,-10.046785212123318
-5.717399636119657,-10.046823067041776
-5.717569089037267,-10.046785003262972
-5.717278912203967,-10.046855513222797
-5.717723140910845,-10.046982755098927
-5.717419230579499,-10.046910835475035
-5.717492967341769,-10.046857771599395
-5.717579268426693,-10.04666810127979
-5.7176516509637425,-10.046895735784652
-5.7172919762989185,-10.046829622698793
-5.717342510130429,-10.04688233649494
-5.717628620514063,-10.047002124942066
-5.717560202757168,-10.046702221762269
-5.717356298499226,-10.046915935794264
-5.7176373021521965,-10.046887366513312
-5.717581329653809,-10.046891853038291
-5.717656979039038,-10.04667683735537
-5.717440600342597,-10.04680664819163
-5.717433103768854,-10.046882544267438
-5.717446275275894,-10.04675569581556
-5.71734033744113,-10.04697734894552
-5.717424184952268,-10.046898858737478
-5.71732973777265,-10.046794054835996
-5.717335890577701,-10.046875186804463
-5.717327145591776,-10.046851990028564
-5.717463811151609,-10.046883572857768
-5.717220441593009,-10.046656394004112
-5.717271629892785,-10.046856565695652
-5.717456239884576,-10.046806641537303
-5.717314297932589,-10.046641618482784
-5.717364032562312,-10.046774163705338
-5.717385448010521,-10.046934236808069
-5.7167228634732465,-10.047140842372356
-5.7174881909732616,-10.046768634267554
-5.7172906165458866,-10.046676922557866
-5.717711286960066,-10.04681243247556
-5.717550054254305,-10.04691636827663
-5.717457794471456,-10.046729615227749
-5.717426647827272,-10.046847749287766
-5.717570421537121,-10.046728797966246
-5.717379275899939,-10.046848686546804
-5.717505532074244,-10.046804149577891
-5.717468829585752,-10.046615142290618
-5.717242622610487,-10.04672868693898
-5.717399966464117,-10.04684186238238
-5.717520624912687,-10.04679521413159
-5.717479790550262,-10.046814461668248
-5.717374665517523,-10.046944065872118
-5.717182042937704,-10.046863263779088
-5.717387103112999,-10.046786009662044
-5.717392046119183,-10.046873233127156
-5.717619912864853,-10.046630999868476
-5.717300708145536,-10.046821207683298
-5.717735271870971,-10.046748434240842
-5.717119022698416,-10.046859880675536
-5.717488043192733,-10.046814443576755
-5.717353657906857,-10.046681723959292
-5.717434120015467,-10.046895365826796
-5.717291707949395,-10.04713211426012
-5.717622852581249,-10.046755871518211
-5.717582302808172,-10.046679053647775
-5.7174095517831125,-10.046929258178256
-5.7173239032826935,-10.046844093534194
-5.717413547009204,-10.046948390621488
-5.717404216330748,-10.046868463514675
-5.717437305462131,-10.046650176413596
-5.717606970858838,-10.046782519993751
-5.717506422128705,-10.046812691187018
-5.717685319420019,-10.04687295754787
-5.71720152317971,-10.046697924781483
-5.717415892592013,-10.046783330790314
-5.717419758596663,-10.046861935717985
-5.717483126900033,-10.046921103741058
-5.717528629666776,-10.04686126533282
-5.7175382753359,-10.046723060094344
-5.7175048138861575,-10.046881192636366
-5.7174202475635445,-10.046898115035724
